Sale_ID,Date,Customer_ID,Bike_Model,Category,Price,Quantity,Discount,Store_Location,Salesperson_ID,Payment_Method,Channel,Customer_Age,Customer_Gender,Sale_Amount,Commission
16,2/8/2020,1773.0,BMX,Off Road,2187.63,2.0,no,San Antonio,455,PayPal,Online,25.0,Male,4375.26,218.76300000000003
17,11/12/2021,7868.0,Folding Bike,Road,732.01,4.0,no,Los Angeles,806,PayPal,Online,59.0,Male,2928.04,146.40200000000002
18,9/11/2021,3357.0,Cruiser,Off Road,2646.24,3.0,yes,Houston,663,Cash,Store,21.0,Male,7938.719999999999,396.936
19,3/7/2022,4981.0,Hybrid Bike,Hybrid,1575.04,3.0,yes,New York,416,Google Pay,Online,53.0,Female,4725.12,236.256
20,2/8/2020,8184.0,Hybrid Bike,Hybrid,1969.76,4.0,no ,New York,386,Google Pay,Online,51.0,Male,7879.04,393.952
21,5/7/2021,4757.0,Electric Bike,Electric,1182.31,3.0,yes,New York,725,PayPal,Online,41.0,Female,3546.93,177.3465
22,6/5/2023,3344.0,Cruiser,Off Road,4747.34,5.0,yes,Los Angeles,865,Cash,Store,68.0,Male,23736.7,1186.835
23,6/27/2022,3559.0,Mountain Bike,Off Road,348.81,3.0,yes,Philadelphia,502,Cash,Store,55.0,Female,1046.43,52.32150000000001
24,10/31/2020,8018.0,Cruiser,Off Road,2816.85,5.0,no,New York,682,Google Pay,Online,29.0,Male,14084.25,704.2125000000001
25,4/7/2024,7030.0,BMX,Off Road,1099.15,4.0,yes,San Antonio,924,Debit Card,Store,54.0,Male,4396.6,219.83000000000004
26,2/7/2022,1209.0,Mountain Bike,Off Road,591.21,2.0,yes,Phoenix,878,PayPal,Online,30.0,Male,1182.42,59.12100000000001
27,9/21/2021,8072.0,Mountain Bike,Off Road,1958.22,3.0,yes,Philadelphia,933,Credit Card,Online,25.0,Female,5874.66,293.733
28,11/25/2022,9164.0,Hybrid Bike,Hybrid,4181.42,4.0,yes,Phoenix,346,Google Pay,Online,36.0,Female,16725.68,836.2840000000001
29,7/17/2023,5981.0,Hybrid Bike,Hybrid,3186.93,2.0,no,Philadelphia,209,Google Pay,Online,29.0,Female,6373.86,318.693
30,11/27/2022,7201.0,BMX,Off Road,4897.8,1.0,no,Philadelphia,117,Apple Pay,Online,28.0,Male,4897.8,244.89000000000001
31,4/24/2024,5301.0,Folding Bike,Road,4141.54,1.0,yes,New York,404,Apple Pay,Online,43.0,Female,4141.54,207.077
32,6/16/2023,7037.0,Cruiser,Off Road,2970.31,5.0,no,Philadelphia,897,Apple Pay,Online,59.0,Male,14851.55,742.5775
33,1/6/2020,5757.0,Hybrid Bike,Hybrid,1064.37,2.0,no,Phoenix,117,Cash,Store,47.0,Male,2128.74,106.437
34,9/5/2020,1215.0,Cruiser,Off Road,270.78,5.0,yes,New York,938,PayPal,Online,46.0,Female,1353.8999999999999,67.695
35,1/27/2023,3148.0,BMX,Off Road,4885.14,3.0,yes,New York,782,PayPal,Online,18.0,Female,14655.420000000002,732.7710000000002
36,10/23/2021,5053.0,Cruiser,Off Road,2276.31,2.0,no ,Los Angeles,160,Google Pay,Online,23.0,Male,4552.62,227.631
37,5/26/2021,2849.0,Hybrid Bike,Hybrid,4234.49,2.0,yes,Phoenix,747,Cash,Store,41.0,Female,8468.98,423.449
38,2/14/2022,8004.0,BMX,Off Road,4448.18,2.0,yes,Phoenix,680,Debit Card,Store,44.0,Male,8896.36,444.81800000000004
39,6/14/2020,5802.0,Folding Bike,Road,4188.82,1.0,yes,Los Angeles,926,Credit Card,Online,46.0,Male,4188.82,209.441
40,3/28/2021,1602.0,Folding Bike,Road,2611.56,2.0,no,New York,655,Apple Pay,Online,21.0,Male,5223.12,261.156
41,12/21/2020,2693.0,Mountain Bike,Off Road,3454.15,1.0,yes,Philadelphia,708,PayPal,Online,37.0,Female,3454.15,172.7075
42,11/24/2022,2554.0,BMX,Off Road,4617.56,4.0,yes,Phoenix,766,Debit Card,Store,36.0,Male,18470.24,923.5120000000002
43,9/1/2024,4677.0,Mountain Bike,Off Road,1812.26,2.0,yes,Houston,393,Cash,Store,40.0,Male,3624.52,181.226
44,9/17/2021,6716.0,Mountain Bike,Off Road,1959.85,3.0,yes,Chicago,175,PayPal,Online,38.0,Female,5879.549999999999,293.97749999999996
45,8/3/2021,6791.0,Mountain Bike,Off Road,4161.05,4.0,no,San Antonio,883,PayPal,Online,28.0,Male,16644.2,832.21
46,9/22/2021,7356.0,Mountain Bike,Off Road,1261.89,5.0,no,Los Angeles,506,Credit Card,Online,37.0,Female,6309.450000000001,315.4725000000001
47,1/23/2024,9785.0,BMX,Off Road,2189.68,3.0,yes,Los Angeles,389,PayPal,Online,28.0,Female,6569.039999999999,328.452
48,6/14/2022,1097.0,Hybrid Bike,Hybrid,1614.07,2.0,no,San Antonio,725,Cash,Store,43.0,Male,3228.14,161.407
49,8/17/2022,6046.0,Folding Bike,Road,724.25,4.0,no,Los Angeles,766,Apple Pay,Online,54.0,Female,2897.0,144.85
50,4/17/2022,7319.0,Electric Bike,Electric,2703.48,2.0,yes,San Antonio,826,Google Pay,Online,53.0,Female,5406.96,270.348
51,3/6/2024,1983.0,Hybrid Bike,Hybrid,3362.4,1.0,yes,Los Angeles,315,Debit Card,Store,22.0,Female,3362.4,168.12
52,11/14/2022,9552.0,Road Bike,Road,2296.64,3.0,no ,New York,825,Cash,Store,29.0,Female,6889.92,344.49600000000004
53,8/12/2021,8543.0,Road Bike,Road,3716.82,3.0,yes,Houston,336,Debit Card,Store,57.0,Male,11150.460000000001,557.523
54,7/7/2023,8173.0,Cruiser,Off Road,4491.92,2.0,yes,Los Angeles,324,PayPal,Online,31.0,Male,8983.84,449.192
55,10/5/2022,3104.0,Folding Bike,Road,2229.03,3.0,yes,San Antonio,291,Cash,Store,42.0,Male,6687.09,334.35450000000003
56,7/26/2020,9651.0,Folding Bike,Road,3687.35,2.0,no,Chicago,621,Apple Pay,Online,33.0,Male,7374.7,368.735
57,4/2/2022,9123.0,Electric Bike,Electric,2845.33,5.0,yes,Los Angeles,534,Google Pay,Online,32.0,Male,14226.65,711.3325
58,4/7/2023,7956.0,Cruiser,Off Road,4650.37,4.0,yes,Philadelphia,632,Cash,Store,47.0,Female,18601.48,930.0740000000001
59,1/24/2021,1672.0,Electric Bike,Electric,4521.32,1.0,yes,New York,252,Debit Card,Store,44.0,Male,4521.32,226.066
60,4/17/2023,2050.0,Cruiser,Off Road,599.68,1.0,yes,Los Angeles,503,PayPal,Online,49.0,Female,599.68,29.983999999999998
61,9/25/2023,5338.0,Cruiser,Off Road,4882.87,3.0,no,Houston,521,Debit Card,Store,60.0,Male,14648.61,732.4305
62,10/26/2020,4277.0,Mountain Bike,Off Road,3481.35,4.0,no,New York,679,PayPal,Online,65.0,Male,13925.4,696.27
63,10/6/2021,7707.0,Road Bike,Road,447.62,5.0,yes,Houston,104,Apple Pay,Online,34.0,Female,2238.1,111.905
64,3/27/2020,3917.0,Mountain Bike,Off Road,2607.09,1.0,no,Houston,432,Apple Pay,Online,50.0,Male,2607.09,130.3545
65,8/11/2023,8891.0,Hybrid Bike,Hybrid,3167.84,2.0,no,San Antonio,552,PayPal,Online,62.0,Male,6335.68,316.78400000000005
66,9/15/2024,5817.0,BMX,Off Road,3690.47,4.0,yes,Philadelphia,515,PayPal,Online,66.0,Male,14761.88,738.094
67,5/11/2020,2805.0,Road Bike,Road,1121.19,4.0,yes,New York,406,Debit Card,Store,40.0,Female,4484.76,224.23800000000003
68,4/13/2020,8183.0,Mountain Bike,Off Road,487.62,4.0,no ,Philadelphia,478,Google Pay,Online,19.0,Male,1950.48,97.524
69,7/9/2020,7033.0,Hybrid Bike,Hybrid,3761.62,5.0,yes,Houston,288,Apple Pay,Online,59.0,Female,18808.1,940.405
70,1/23/2023,5757.0,Electric Bike,Electric,2921.16,5.0,yes,Phoenix,473,Debit Card,Store,65.0,Male,14605.8,730.29
71,5/1/2023,1503.0,Road Bike,Road,3360.87,5.0,yes,Philadelphia,557,Cash,Store,33.0,Female,16804.35,840.2175
72,5/31/2023,5707.0,Hybrid Bike,Hybrid,3340.64,4.0,no,Philadelphia,917,Debit Card,Store,24.0,Male,13362.56,668.128
73,1/1/2020,3495.0,Road Bike,Road,3617.52,1.0,yes,Philadelphia,485,Cash,Store,53.0,Male,3617.52,180.876
74,2/7/2023,2401.0,Cruiser,Off Road,888.34,1.0,yes,Philadelphia,304,Credit Card,Online,32.0,Male,888.34,44.417
75,9/20/2021,3519.0,Folding Bike,Road,1334.89,3.0,yes,New York,906,Cash,Store,19.0,Male,4004.67,200.23350000000002
76,7/2/2024,6407.0,Mountain Bike,Off Road,3122.5,5.0,yes,Chicago,336,Apple Pay,Online,61.0,Male,15612.5,780.625
77,6/8/2022,9534.0,Road Bike,Road,1686.31,4.0,no,Houston,528,Debit Card,Store,38.0,Male,6745.24,337.262
78,1/23/2023,8374.0,Hybrid Bike,Hybrid,2531.0,1.0,no,San Antonio,346,Credit Card,Online,34.0,Female,2531.0,126.55000000000001
79,8/4/2021,6132.0,Cruiser,Off Road,3382.52,1.0,yes,San Antonio,787,Credit Card,Online,22.0,Female,3382.52,169.126
80,9/21/2021,5736.0,Road Bike,Road,2671.27,2.0,no,Philadelphia,248,Cash,Store,65.0,Female,5342.54,267.127
81,6/12/2020,9972.0,BMX,Off Road,3337.3,5.0,no,Philadelphia,404,Debit Card,Store,46.0,Female,16686.5,834.325
82,5/18/2023,3022.0,Electric Bike,Electric,1770.57,4.0,yes,Chicago,518,Debit Card,Store,64.0,Male,7082.28,354.11400000000003
83,8/18/2023,2444.0,Electric Bike,Electric,2986.96,5.0,yes,Philadelphia,612,PayPal,Online,63.0,Male,14934.8,746.74
84,6/29/2024,8722.0,Cruiser,Off Road,2834.1,2.0,no ,Chicago,782,Credit Card,Online,26.0,Male,5668.2,283.41
85,8/2/2024,3617.0,Folding Bike,Road,3623.45,2.0,yes,San Antonio,449,Credit Card,Online,28.0,Male,7246.9,362.345
86,10/6/2021,4118.0,Cruiser,Off Road,2010.95,4.0,yes,Phoenix,779,Credit Card,Online,70.0,Male,8043.8,402.19000000000005
87,2/8/2020,8849.0,Folding Bike,Road,608.93,3.0,yes,Phoenix,452,Credit Card,Online,23.0,Male,1826.79,91.3395
88,7/27/2021,4281.0,Road Bike,Road,727.49,1.0,no,Philadelphia,849,Apple Pay,Online,62.0,Female,727.49,36.374500000000005
89,8/14/2024,9422.0,Folding Bike,Road,638.16,2.0,yes,Philadelphia,480,PayPal,Online,58.0,Male,1276.32,63.816
90,2/5/2020,4849.0,BMX,Off Road,1557.08,4.0,yes,Chicago,995,Credit Card,Online,54.0,Female,6228.32,311.416
91,9/6/2022,8937.0,Road Bike,Road,2775.14,3.0,yes,Chicago,401,Apple Pay,Online,56.0,Male,8325.42,416.271
92,7/6/2024,9035.0,Electric Bike,Electric,2234.4,2.0,yes,New York,977,PayPal,Online,59.0,Female,4468.8,223.44000000000003
93,12/10/2021,3144.0,Electric Bike,Electric,1803.99,2.0,no,San Antonio,405,Apple Pay,Online,23.0,Female,3607.98,180.399
94,11/19/2022,6698.0,Cruiser,Off Road,1924.91,4.0,no,Philadelphia,453,Google Pay,Online,25.0,Female,7699.64,384.982
95,2/4/2023,9046.0,Folding Bike,Road,661.28,5.0,yes,Philadelphia,213,Debit Card,Store,70.0,Female,3306.3999999999996,165.32
96,5/8/2020,5487.0,Hybrid Bike,Hybrid,4504.65,1.0,no,Philadelphia,629,Cash,Store,70.0,Male,4504.65,225.2325
97,2/21/2020,2644.0,Electric Bike,Electric,1548.33,3.0,no,Phoenix,961,Apple Pay,Online,70.0,Female,4644.99,232.2495
98,11/13/2023,9984.0,Mountain Bike,Off Road,227.98,2.0,yes,Chicago,536,Credit Card,Online,70.0,Female,455.96,22.798000000000002
99,2/6/2024,5912.0,BMX,Off Road,3580.44,1.0,yes,Phoenix,299,Credit Card,Online,36.0,Female,3580.44,179.02200000000002
100,9/13/2020,5259.0,Hybrid Bike,Hybrid,1672.77,3.0,no ,Chicago,947,Google Pay,Online,27.0,Female,5018.3099999999995,250.91549999999998
101,3/26/2021,6324.0,Road Bike,Road,3982.89,1.0,yes,Phoenix,462,PayPal,Online,44.0,Female,3982.89,199.1445
102,10/14/2021,6359.0,Hybrid Bike,Hybrid,4497.57,2.0,yes,Houston,572,Cash,Store,19.0,Female,8995.14,449.757
103,8/30/2023,4450.0,Hybrid Bike,Hybrid,1767.21,4.0,yes,New York,982,Apple Pay,Online,21.0,Female,7068.84,353.442
104,10/26/2022,8115.0,BMX,Off Road,2244.59,4.0,no,Phoenix,525,Credit Card,Online,53.0,Female,8978.36,448.91800000000006
105,11/27/2020,8520.0,Folding Bike,Road,242.79,4.0,yes,Houston,885,Google Pay,Online,58.0,Male,971.16,48.558
106,4/29/2022,3743.0,BMX,Off Road,4826.21,4.0,yes,New York,272,PayPal,Online,32.0,Male,19304.84,965.2420000000001
107,7/5/2022,1757.0,Cruiser,Off Road,3619.29,5.0,yes,Chicago,838,Apple Pay,Online,47.0,Female,18096.45,904.8225000000001
108,7/16/2022,8531.0,Cruiser,Off Road,4710.42,1.0,yes,New York,847,PayPal,Online,47.0,Female,4710.42,235.52100000000002
109,10/31/2020,9445.0,Mountain Bike,Off Road,3579.78,3.0,no,New York,423,Apple Pay,Online,49.0,Female,10739.34,536.967
110,10/11/2020,9024.0,Folding Bike,Road,2469.39,3.0,no,Philadelphia,499,Debit Card,Store,62.0,Male,7408.17,370.4085
111,6/29/2022,1707.0,BMX,Off Road,3128.86,2.0,yes,Los Angeles,944,Google Pay,Online,52.0,Female,6257.72,312.886
112,11/6/2021,2473.0,Cruiser,Off Road,4610.91,3.0,no,Philadelphia,647,Apple Pay,Online,33.0,Male,13832.73,691.6365000000001
113,4/10/2020,3843.0,Folding Bike,Road,1422.01,3.0,no,Houston,733,Credit Card,Online,56.0,Female,4266.03,213.3015
114,10/4/2022,9383.0,Mountain Bike,Off Road,4116.38,4.0,yes,Phoenix,761,PayPal,Online,65.0,Male,16465.52,823.2760000000001
115,10/28/2021,9700.0,Road Bike,Road,2690.59,4.0,yes,New York,145,Debit Card,Store,26.0,Female,10762.36,538.118
116,4/20/2023,6925.0,Electric Bike,Electric,3231.44,4.0,no ,San Antonio,709,Cash,Store,43.0,Male,12925.76,646.288
117,6/1/2023,8153.0,BMX,Off Road,3284.69,1.0,yes,New York,618,Cash,Store,61.0,Female,3284.69,164.23450000000003
118,8/11/2021,2662.0,BMX,Off Road,3270.99,2.0,yes,San Antonio,375,Credit Card,Online,53.0,Female,6541.98,327.099
119,6/25/2021,4113.0,Hybrid Bike,Hybrid,1586.87,4.0,yes,Houston,379,Cash,Store,70.0,Male,6347.48,317.374
120,6/16/2022,4152.0,Hybrid Bike,Hybrid,1957.72,2.0,no,Phoenix,360,PayPal,Online,54.0,Female,3915.44,195.77200000000002
121,10/25/2021,1804.0,BMX,Off Road,2829.23,2.0,yes,Phoenix,933,Credit Card,Online,64.0,Male,5658.46,282.923
122,5/26/2021,7698.0,Folding Bike,Road,2259.03,4.0,yes,Los Angeles,271,PayPal,Online,24.0,Female,9036.12,451.80600000000004
123,10/5/2023,2586.0,Electric Bike,Electric,326.14,1.0,yes,San Antonio,763,Debit Card,Store,60.0,Female,326.14,16.307
124,1/3/2023,5680.0,Road Bike,Road,1346.33,4.0,yes,San Antonio,878,Apple Pay,Online,47.0,Female,5385.32,269.266
125,3/14/2022,3874.0,Cruiser,Off Road,3254.49,5.0,no,Phoenix,745,Apple Pay,Online,30.0,Male,16272.449999999999,813.6225
126,6/19/2023,1817.0,Hybrid Bike,Hybrid,2380.58,4.0,no,Houston,909,Credit Card,Online,54.0,Male,9522.32,476.116
127,6/13/2024,3464.0,Electric Bike,Electric,2274.67,2.0,yes,San Antonio,598,PayPal,Online,21.0,Male,4549.34,227.467
128,9/21/2021,2717.0,Hybrid Bike,Hybrid,2257.32,2.0,no,San Antonio,117,Cash,Store,25.0,Male,4514.64,225.73200000000003
129,5/19/2020,6019.0,Road Bike,Road,783.31,3.0,no,Chicago,654,Credit Card,Online,34.0,Female,2349.93,117.4965
130,1/8/2020,2200.0,Mountain Bike,Off Road,874.62,5.0,yes,New York,196,Debit Card,Store,18.0,Female,4373.1,218.65500000000003
131,5/1/2023,1215.0,BMX,Off Road,2659.28,2.0,yes,Los Angeles,712,PayPal,Online,61.0,Male,5318.56,265.92800000000005
132,11/21/2021,6688.0,Hybrid Bike,Hybrid,533.51,1.0,no ,Houston,282,Apple Pay,Online,24.0,Female,533.51,26.6755
133,12/24/2020,8491.0,Hybrid Bike,Hybrid,4867.16,4.0,yes,New York,494,Credit Card,Online,21.0,Male,19468.64,973.432
134,4/29/2022,3629.0,BMX,Off Road,1321.74,1.0,yes,Phoenix,955,Apple Pay,Online,30.0,Male,1321.74,66.087
135,7/25/2024,2660.0,Road Bike,Road,4002.62,2.0,yes,Philadelphia,631,Cash,Store,21.0,Female,8005.24,400.262
136,4/12/2023,3491.0,Road Bike,Road,2646.05,3.0,no,Phoenix,429,PayPal,Online,41.0,Male,7938.150000000001,396.9075
137,2/7/2023,2914.0,Hybrid Bike,Hybrid,1209.19,3.0,yes,Houston,700,Credit Card,Online,45.0,Male,3627.57,181.37850000000003
138,2/4/2022,6212.0,Cruiser,Off Road,1354.08,2.0,yes,Phoenix,861,Credit Card,Online,35.0,Female,2708.16,135.408
139,10/30/2023,4463.0,Folding Bike,Road,1652.44,2.0,yes,San Antonio,419,Debit Card,Store,56.0,Female,3304.88,165.24400000000003
140,10/24/2023,3044.0,Hybrid Bike,Hybrid,1241.87,1.0,yes,Houston,412,Cash,Store,60.0,Male,1241.87,62.0935
141,6/30/2024,2357.0,Cruiser,Off Road,1151.75,5.0,no,Philadelphia,845,PayPal,Online,66.0,Female,5758.75,287.9375
142,7/12/2020,3456.0,Folding Bike,Road,2801.12,4.0,no,Chicago,136,Debit Card,Store,29.0,Female,11204.48,560.224
143,11/18/2021,5825.0,Electric Bike,Electric,2352.45,1.0,yes,Philadelphia,273,Credit Card,Online,28.0,Male,2352.45,117.6225
144,9/10/2022,1418.0,Road Bike,Road,3652.29,4.0,no,Los Angeles,120,Google Pay,Online,43.0,Female,14609.16,730.4580000000001
145,4/28/2024,1863.0,Cruiser,Off Road,1909.79,2.0,no,Chicago,741,PayPal,Online,33.0,Male,3819.58,190.979
146,3/3/2020,2135.0,Cruiser,Off Road,1399.37,2.0,yes,Chicago,131,Google Pay,Online,70.0,Female,2798.74,139.93699999999998
147,3/9/2023,9753.0,BMX,Off Road,2115.28,1.0,yes,Los Angeles,756,Cash,Store,25.0,Male,2115.28,105.76400000000001
148,11/28/2023,9559.0,Electric Bike,Electric,3577.98,1.0,no ,Philadelphia,577,Apple Pay,Online,60.0,Male,3577.98,178.899
149,1/28/2023,1745.0,BMX,Off Road,918.64,3.0,yes,Philadelphia,965,Credit Card,Online,54.0,Male,2755.92,137.79600000000002
150,6/25/2021,8826.0,Hybrid Bike,Hybrid,3458.87,4.0,yes,Chicago,807,Debit Card,Store,46.0,Male,13835.48,691.774
151,11/6/2021,3183.0,Electric Bike,Electric,2624.71,4.0,yes,Philadelphia,692,Debit Card,Store,37.0,Female,10498.84,524.942
152,8/9/2020,1704.0,BMX,Off Road,853.88,5.0,no,Houston,864,Apple Pay,Online,33.0,Male,4269.4,213.47
153,10/10/2020,1063.0,Electric Bike,Electric,2776.79,3.0,yes,Chicago,496,Google Pay,Online,43.0,Female,8330.369999999999,416.51849999999996
154,9/13/2023,3315.0,Cruiser,Off Road,4843.8,1.0,yes,New York,977,Google Pay,Online,34.0,Male,4843.8,242.19000000000003
155,7/10/2021,5618.0,Folding Bike,Road,4594.12,4.0,yes,Los Angeles,864,PayPal,Online,38.0,Male,18376.48,918.8240000000001
156,3/3/2023,7284.0,Electric Bike,Electric,1661.19,4.0,yes,Philadelphia,729,Debit Card,Store,24.0,Male,6644.76,332.23800000000006
157,9/17/2020,8642.0,Mountain Bike,Off Road,4041.34,5.0,no,New York,898,Debit Card,Store,53.0,Male,20206.7,1010.335
158,5/27/2021,4066.0,Mountain Bike,Off Road,747.63,1.0,no,Phoenix,383,Debit Card,Store,43.0,Female,747.63,37.3815
159,8/20/2022,6874.0,Folding Bike,Road,3392.71,1.0,yes,San Antonio,797,Cash,Store,59.0,Female,3392.71,169.6355
160,3/22/2021,4491.0,Electric Bike,Electric,2963.39,2.0,no,Los Angeles,513,Apple Pay,Online,21.0,Female,5926.78,296.339
161,8/18/2021,2283.0,Road Bike,Road,4290.82,5.0,no,Phoenix,843,Google Pay,Online,56.0,Female,21454.1,1072.705
162,7/16/2023,5258.0,Cruiser,Off Road,579.97,1.0,yes,Chicago,930,Cash,Store,64.0,Male,579.97,28.998500000000003
163,7/17/2023,9230.0,Mountain Bike,Off Road,4021.76,2.0,yes,Houston,686,Debit Card,Store,37.0,Male,8043.52,402.17600000000004
164,3/2/2021,2316.0,Electric Bike,Electric,3982.45,2.0,no ,Houston,607,Apple Pay,Online,61.0,Female,7964.9,398.245
165,2/29/2024,1282.0,Folding Bike,Road,984.65,5.0,yes,Chicago,344,PayPal,Online,69.0,Female,4923.25,246.16250000000002
166,10/9/2023,6152.0,Electric Bike,Electric,514.13,4.0,yes,Houston,895,Credit Card,Online,62.0,Female,2056.52,102.82600000000001
167,4/27/2023,1105.0,Electric Bike,Electric,4012.24,4.0,yes,Houston,569,Credit Card,Online,20.0,Male,16048.96,802.448
168,7/31/2023,5200.0,Hybrid Bike,Hybrid,677.51,3.0,no,Chicago,147,Google Pay,Online,28.0,Female,2032.53,101.62650000000001
169,1/15/2021,3917.0,Cruiser,Off Road,1419.26,3.0,yes,Houston,772,Debit Card,Store,48.0,Female,4257.78,212.889
170,12/3/2020,1072.0,Hybrid Bike,Hybrid,1139.47,2.0,yes,Los Angeles,561,Apple Pay,Online,30.0,Female,2278.94,113.947
171,4/2/2023,8836.0,BMX,Off Road,4691.31,1.0,yes,Los Angeles,936,Credit Card,Online,47.0,Male,4691.31,234.56550000000004
172,7/21/2022,8047.0,BMX,Off Road,1383.75,3.0,yes,Los Angeles,622,PayPal,Online,53.0,Female,4151.25,207.5625
173,12/25/2021,4943.0,Hybrid Bike,Hybrid,2950.48,2.0,no,Los Angeles,330,Cash,Store,26.0,Female,5900.96,295.048
174,12/13/2023,2059.0,Hybrid Bike,Hybrid,2213.13,1.0,no,Los Angeles,420,Credit Card,Online,55.0,Female,2213.13,110.65650000000001
175,8/8/2022,5856.0,Hybrid Bike,Hybrid,2991.29,4.0,yes,New York,348,Debit Card,Store,32.0,Female,11965.16,598.258
176,8/29/2020,2258.0,Electric Bike,Electric,4856.07,4.0,no,Houston,886,Credit Card,Online,70.0,Male,19424.28,971.2139999999999
177,4/18/2020,8102.0,Electric Bike,Electric,4950.14,3.0,no,San Antonio,866,Debit Card,Store,21.0,Female,14850.420000000002,742.5210000000002
178,10/18/2020,8963.0,Cruiser,Off Road,2053.54,2.0,yes,San Antonio,715,Cash,Store,50.0,Male,4107.08,205.354
179,1/5/2024,7085.0,Cruiser,Off Road,3546.33,3.0,yes,New York,768,PayPal,Online,63.0,Female,10638.99,531.9495000000001
180,12/3/2023,3350.0,BMX,Off Road,759.62,1.0,no ,Chicago,115,Google Pay,Online,59.0,Female,759.62,37.981
181,9/2/2022,9205.0,BMX,Off Road,1122.09,5.0,yes,Phoenix,369,Credit Card,Online,23.0,Male,5610.45,280.5225
182,5/23/2022,6859.0,Road Bike,Road,239.61,4.0,yes,New York,919,PayPal,Online,67.0,Male,958.44,47.922000000000004
183,11/12/2022,2350.0,Folding Bike,Road,1100.52,1.0,yes,Chicago,284,Apple Pay,Online,34.0,Female,1100.52,55.026
184,3/20/2021,1970.0,BMX,Off Road,2147.41,4.0,no,Houston,710,Cash,Store,26.0,Male,8589.64,429.48199999999997
185,11/4/2023,2723.0,Electric Bike,Electric,378.57,5.0,yes,Houston,563,Credit Card,Online,53.0,Male,1892.85,94.6425
186,1/1/2023,8551.0,Folding Bike,Road,3280.72,5.0,yes,Phoenix,617,Cash,Store,69.0,Female,16403.6,820.18
187,4/21/2021,5718.0,Mountain Bike,Off Road,3544.5,4.0,yes,Houston,210,Debit Card,Store,20.0,Male,14178.0,708.9000000000001
188,7/26/2024,4935.0,Cruiser,Off Road,469.95,3.0,yes,Chicago,149,Apple Pay,Online,19.0,Female,1409.85,70.49249999999999
189,7/27/2020,9907.0,Electric Bike,Electric,1179.72,2.0,no,Houston,204,Debit Card,Store,52.0,Female,2359.44,117.97200000000001
190,1/5/2023,1167.0,BMX,Off Road,3415.6,4.0,no,San Antonio,299,Credit Card,Online,60.0,Male,13662.4,683.12
191,9/12/2020,1401.0,Road Bike,Road,1938.62,2.0,yes,Chicago,907,Cash,Store,27.0,Male,3877.24,193.862
192,6/12/2023,8310.0,Mountain Bike,Off Road,567.81,2.0,no,Chicago,401,Cash,Store,68.0,Male,1135.62,56.781
193,4/17/2023,8290.0,Electric Bike,Electric,1086.97,2.0,no,San Antonio,363,Cash,Store,63.0,Female,2173.94,108.697
194,11/6/2021,9046.0,Folding Bike,Road,2652.05,5.0,yes,Chicago,515,Debit Card,Store,55.0,Male,13260.25,663.0125
195,11/3/2020,3611.0,Electric Bike,Electric,4439.55,1.0,yes,Chicago,731,PayPal,Online,27.0,Female,4439.55,221.97750000000002
